review,label,domain,sentiment,rating,review_length,clean_review
examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams.,1.0,examination,Positive,8,115,examination including exam pattern good way mcqs shouls given student preparation exam
the level of examination should be raised. Questions with reasoning must be included,-1.0,examination,Negative,2,84,level examination raised question reasoning must included
fair marking scheme and adaptable pattern,1.0,examination,Positive,8,41,fair marking scheme adaptable pattern
pattern of examination is good but paper checking is not at all going in a good way.,0.0,examination,Neutral,5,84,pattern examination good paper checking going good way
there should not be negative marking,-1.0,examination,Negative,2,36,negative marking
All is good .,1.0,examination,Positive,8,13,good
"I like it , i am satisfied all these work",1.0,examination,Positive,8,41,like satisfied work
excellent ,1.0,examination,Positive,8,10,excellent
quite good,1.0,examination,Positive,8,10,quite good
very poor,-1.0,examination,Negative,2,9,poor
exam pattern is good and good paper checking but paper checking can be improved,1.0,examination,Positive,8,79,exam pattern good good paper checking paper checking improved
"exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty.",1.0,examination,Positive,8,101,exam pattern good well mark distribution paper checking varies faculty faculty
all excellent,1.0,examination,Positive,8,13,excellent
marks distribution is good but paper checking is not that well,0.0,examination,Neutral,5,62,mark distribution good paper checking well
Very Tough,-1.0,examination,Negative,2,10,tough
good.,1.0,examination,Positive,8,5,good
it is good,1.0,examination,Positive,8,10,good
bad,-1.0,examination,Negative,2,3,bad
Examination pattern is good but mcq paper checking marks are not correct sometimes.,0.0,examination,Neutral,5,83,examination pattern good mcq paper checking mark correct sometimes
very strict,-1.0,examination,Negative,2,11,strict
It is a good way in pattern,1.0,examination,Positive,8,27,good way pattern
as per the exam pattern maths exam always have to be subjective rather than objective.,-1.0,examination,Negative,2,86,per exam pattern math exam always subjective rather objective
its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk ,-1.0,examination,Negative,2,108,bad thing sowing answer mcq exam dont jiged rigth rong mak mistacvk
coming to the examinations it is good,1.0,examination,Positive,8,37,coming examination good
In CA's its in the hands of lectures... while in mte's and ete's its good.,0.0,examination,Neutral,5,74,hand lecture mte ete good
i think mid trem should be also subjective ,0.0,examination,Neutral,5,43,think mid trem also subjective
exam pattern and marks distribution are good,1.0,examination,Positive,8,44,exam pattern mark distribution good
Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,1.0,examination,Positive,8,124,examination pattern mark distribution term good mte also give chance student improving
in examinations please try to give question papers,0.0,examination,Neutral,5,50,examination please try give question paper
GOOD AND STRICT,1.0,examination,Positive,8,15,good strict
not much good ,-1.0,examination,Negative,2,14,much good
exams conducting is very good .but paper correction is very bad,0.0,examination,Neutral,5,63,exam conducting good paper correction bad
The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet.,0.0,examination,Neutral,5,239,examination pattern good logic based subjective question asked based upon conceptual learning paper checking must done lucid manner many doubt arise checking omr sheet
all these are good,1.0,examination,Positive,8,18,good
the best pattern of examination are in lpu .,1.0,examination,Positive,8,44,best pattern examination lpu
mid term percentage should be increased so that students get more choice to get success in the examinations,0.0,examination,Neutral,5,107,mid term percentage increased student get choice get success examination
"good
",1.0,examination,Positive,8,5,good
The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same blocks.Through this students also get to know and visit different blocks of the university.The checking is also fair .,1.0,examination,Positive,8,315,examination system university impressive sitting plan student made way student class give exam room even sometimes block student also get know visit different block university checking also fair
Everything is pretty well organised,1.0,examination,Positive,8,35,everything pretty well organised
very good 5/5,1.0,examination,Positive,8,13,good
for some subjects like maths and english(passage writing) the time duration neds to increase,-1.0,examination,Negative,2,92,subject like math english passage writing time duration neds increase
"Pattern is good ...marks distribution that includes ca,mt,et ,nd attendence all that is  little complicated ",0.0,examination,Neutral,5,108,pattern good mark distribution includes attendence little complicated
every thing is fine.,1.0,examination,Positive,8,20,every thing fine
Probably the best part of university is its examination and its pattern.,1.0,examination,Positive,8,72,probably best part university examination pattern
"I have never seen this type of examination,,,,,,,very GOOD  pattern",1.0,examination,Positive,8,67,never seen type examination good pattern
"examination checking sucks here , don't knw why I get low marks even if 4 qustions are wrong . answer key of exam is absurd, discrepancy system is not advantageous, answers of exam not right, omr should be uploaded


",-1.0,examination,Negative,2,217,examination checking suck knw get low mark even qustions wrong answer key exam absurd discrepancy system advantageous answer exam right omr uploaded
It is best,1.0,examination,Positive,8,10,best
"examination pattern is good but,,there is blunder mistake.that is we ha no alternate to check the mistake where we have done morever no question papers also not given for discussion.so i suggest to..provide option for checking mistakes in the MCQ exams such as midterm.",-1.0,examination,Negative,2,269,examination pattern good blunder mistake alternate check mistake done morever question paper also given discussion suggest provide option checking mistake mcq exam midterm
time not sufficient,-1.0,examination,Negative,2,19,time sufficient
exam pattern is good ,1.0,examination,Positive,8,21,exam pattern good
excellent!!!,1.0,examination,Positive,8,12,excellent
every thing is excllent but paper checking is not good,0.0,examination,Neutral,5,54,every thing excllent paper checking good
We don't get answers key and even the question papers for our mcq exams.There should be some means by which we could recheck our answers and get to know what mistakes we have made.,-1.0,examination,Negative,2,180,get answer key even question paper mcq exam mean could recheck answer get know mistake made
  exam pattern is very nice but paper checking is not at all good .,0.0,examination,Neutral,5,67,exam pattern nice paper checking good
Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking.,0.0,examination,Neutral,5,104,exam pattern mark distribution excellent sometimes error paper checking
exam  pattern is very good but if you give question papers to students it is helpful ,0.0,examination,Neutral,5,85,exam pattern good give question paper student helpful
its better,1.0,examination,Positive,8,10,better
"Exam pattern Very good, Marks distribution good but sometimes disappointing, paper checking OK

",1.0,examination,Positive,8,96,exam pattern good mark distribution good sometimes disappointing paper checking
yeah its obviously good,1.0,examination,Positive,8,23,yeah obviously good
exam pattern is completely different the entire exams are objective oriented resumbling  the education in abroad my review is 5/5,1.0,examination,Positive,8,129,exam pattern completely different entire exam objective oriented resumbling education abroad review
everything was good.,1.0,examination,Positive,8,20,everything good
everything is good.,1.0,examination,Positive,8,19,everything good
"excellent but checking procedure is not exceptable since we  fail to know our faults in mid term..
",0.0,examination,Neutral,5,99,excellent checking procedure exceptable since fail know fault mid term
"Excellent exam pattern, paper checking in this university is easy

",1.0,examination,Positive,8,67,excellent exam pattern paper checking university easy
I don't like the -ve marking system. appart from that everything is great,0.0,examination,Neutral,5,73,like marking system appart everything great
"Returning the question paper after the exams to be expected,because to clear and clarify the doubts regarding particular subjects",-1.0,examination,Negative,2,129,returning question paper exam expected clear clarify doubt regarding particular subject
examination pattern was excellent,1.0,examination,Positive,8,33,examination pattern excellent
"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good

",1.0,examination,Positive,8,139,exam conducted upon basis revised chapter upto point mark distribution appropriate paper checking good
very hard papers and main concept papers,0.0,examination,Neutral,5,40,hard paper main concept paper
 Not so good,-1.0,examination,Negative,2,12,good
strict paper correction.,-1.0,examination,Negative,2,24,strict paper correction
super but paper checking is not good,0.0,examination,Neutral,5,36,super paper checking good
NICE TIMING..,1.0,examination,Positive,8,13,nice timing
That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,0.0,examination,Neutral,5,110,good negative marking pattern exam time sufficient question
EXAMPATTERN IS GOOD AND MARKS DISTRIBUTION IS ALSO GOOD AND PAPER CHECKING IS VERY HARD ,1.0,examination,Positive,8,88,exampattern good mark distribution also good paper checking hard
all are good ,1.0,examination,Positive,8,13,good
The examination pattern is good .But time is not sufficient for those questions.,0.0,examination,Neutral,5,80,examination pattern good time sufficient question
MCQ pattern is quite good and efficient way for evolving students.,1.0,examination,Positive,8,66,mcq pattern quite good efficient way evolving student
PAPER CHECKING IS VERY HARD REMAINING IS GOOD,0.0,examination,Neutral,5,45,paper checking hard remaining good
"not satisfactory, lab work must include latest technologies",-1.0,labwork,Negative,2,59,satisfactory lab work must include latest technology
Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,1.0,labwork,Positive,8,121,lab work properly covered lab faculty evaluation help learn practical knowledge depth
practical work provides detail knowledge of theoretical work,1.0,labwork,Positive,8,60,practical work provides detail knowledge theoretical work
Everything is going fine in lab . learning new things. That is good for us,1.0,labwork,Positive,8,74,everything going fine lab learning new thing good
Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,-1.0,labwork,Negative,2,104,lab practical upto mark topic practiced almost already done btech
Not upto the mark,-1.0,labwork,Negative,2,17,upto mark
lab improves practical knowledge,-1.0,labwork,Negative,2,32,lab improves practical knowledge
Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,0.0,labwork,Neutral,5,91,sometimes system lab screwed otherwise everything respected desk
Practical work is fair,1.0,labwork,Positive,8,22,practical work fair
Practical and easy learning,1.0,labwork,Positive,8,27,practical easy learning
"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",-1.0,labwork,Negative,2,543,evaluation bad one faculty really weird give remark basis present thing front never look content answer really annoying expects deliver answer way want person people different mentality explain different manner teacher must understand quality child give mark basis say say
Good.,1.0,labwork,Positive,8,5,good
well and good infrastructure and have trending software in lab    ,1.0,labwork,Positive,8,66,well good infrastructure trending software lab
3 hours practical is so long. It should be of 2 hours only ,-1.0,labwork,Negative,2,59,hour practical long hour
practicle must be of 2 hours,-1.0,labwork,Negative,2,28,practicle must hour
"It's good 
Also depends on teacher's knowledge and student's interest",1.0,labwork,Positive,8,69,good also depends teacher knowledge student interest
All good,1.0,labwork,Positive,8,8,good
Average ,0.0,labwork,Neutral,5,8,average
Too much lanlb file work,-1.0,labwork,Negative,2,24,much lanlb file work
Evaluation method is gud.But the content is more to write in file,0.0,labwork,Neutral,5,65,evaluation method gud content write file
I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.,0.0,labwork,Neutral,5,89,think electrotherapy practical hour enough think rest fine
lab duration of 3 hours is very long . ,-1.0,labwork,Negative,2,39,lab duration hour long
lab evaluations are pretty good .they help us a lot.,1.0,labwork,Positive,8,52,lab evaluation pretty good help lot
having good material in labs.,1.0,labwork,Positive,8,29,good material lab
too much good,1.0,labwork,Positive,8,13,much good
it is difficult to understand experiment in 1 hour,-1.0,labwork,Negative,2,50,difficult understand experiment hour
lab work is also good,1.0,labwork,Positive,8,21,lab work also good
lab work is quite good,1.0,labwork,Positive,8,22,lab work quite good
lab activities are good but not satisfactory in explaining point of view.,0.0,labwork,Neutral,5,73,lab activity good satisfactory explaining point view
helps in improving skills,1.0,labwork,Positive,8,25,help improving skill
lab work is nice.,1.0,labwork,Positive,8,17,lab work nice
practical work including evaluations are good so that students can learn about practicals.,1.0,labwork,Positive,8,90,practical work including evaluation good student learn practicals
laboratory provides us a good knowledge about practicals.,1.0,labwork,Positive,8,57,laboratory provides good knowledge practicals
practical work insome labs are not upto the marks,-1.0,labwork,Negative,2,49,practical work insome lab upto mark
labs are good but experiments are not very informative,0.0,labwork,Neutral,5,54,lab good experiment informative
the labs are not practically built,-1.0,labwork,Negative,2,34,lab practically built
practical work is good,1.0,labwork,Positive,8,22,practical work good
super,1.0,labwork,Positive,8,5,super
This is the best in our university because there is no other university which takes seriously for practical work.,1.0,labwork,Positive,8,113,best university university take seriously practical work
"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good   ",-1.0,labwork,Negative,2,135,time lab proper working teacher practical knowledge less side evaluation much good
very poor.no equipments are there,-1.0,labwork,Negative,2,33,poor equipment
poor,-1.0,labwork,Negative,2,4,poor
lab practicals and evaluations are below average and need lot of changes and improvements,-1.0,labwork,Negative,2,89,lab practicals evaluation average need lot change improvement
lab practical work can further be improved so that it can meet industrial standards,-1.0,labwork,Negative,2,83,lab practical work improved meet industrial standard
excellent work,1.0,labwork,Positive,8,14,excellent work
its hard to find a computer working in lab. Students cannot save data in one single PC,-1.0,labwork,Negative,2,86,hard find computer working lab student cannot save data one single
"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life.",-1.0,labwork,Negative,2,220,good becouse lab teacher donot teach work live project make live project ovserved whatever teacher teachig lab usefull future life
not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision,-1.0,labwork,Negative,2,98,good timing much lab syllabus also vast get propr revision
satisfactory.,1.0,labwork,Positive,8,13,satisfactory
i hate it,-1.0,labwork,Negative,2,9,hate
Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly ,-1.0,labwork,Negative,2,193,practical work interesting different teacher evaluate way teacher section give mark without taking viva give mark accordingly
as per the lab evaluation we r satisfied with  it,1.0,labwork,Positive,8,49,per lab evaluation satisfied
lab and practical work are litial good,1.0,labwork,Positive,8,38,lab practical work litial good
not very good... must be improved.,-1.0,labwork,Negative,2,34,good must improved
With the help of practicals students are able to understand all the concept.so it is also good.,1.0,labwork,Positive,8,95,help practicals student able understand concept also good
LAB IS VERY GOOD,1.0,labwork,Positive,8,16,lab good
not good...... must be improve,-1.0,labwork,Negative,2,30,good must improve
Lab evaluations are good.,1.0,labwork,Positive,8,25,lab evaluation good
it was good but it can be improved,0.0,labwork,Neutral,5,34,good improved
"most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.
",-1.0,labwork,Negative,2,140,teacher even bother practical performed student give mark seeing face something like
good  but marks are not given properly ,-1.0,labwork,Negative,2,39,good mark given properly
practicals are good but evaluations are not because they don't give enough time to work ,0.0,labwork,Neutral,5,88,practicals good evaluation give enough time work
They are conducted in proper way.,1.0,labwork,Positive,8,33,conducted proper way
Teachers are supposed to let the students know the actual use of the instruments used in the lab.,0.0,labwork,Neutral,5,97,teacher supposed let student know actual use instrument used lab
excellent ...they  work hard..their way of teaching is also pretty good,1.0,labwork,Positive,8,71,excellent work hard way teaching also pretty good
average 3.5/5,0.0,labwork,Neutral,5,13,average
"In labs,the lecturers has to interact with each student to improve their knowledge, in all the ways,before giving us the work they must explain about the experiment once so that we will come to know how to perform n take precautions while doing,........
",0.0,labwork,Neutral,5,254,lab lecturer interact student improve knowledge way giving work must explain experiment come know perform take precaution
its fine.,1.0,labwork,Positive,8,9,fine
More number of lab/practicals should be there to enhance practical knowledge.,-1.0,labwork,Negative,2,77,number lab practicals enhance practical knowledge
Here we r able to do every thing by our own with u r valuable support ,1.0,labwork,Positive,8,70,able every thing valuable support
pretty good,1.0,labwork,Positive,8,11,pretty good
Very Good,1.0,labwork,Positive,8,9,good
There are no sufficient lab equipments in the labs and the avilable euipments are also not perfect.,-1.0,labwork,Negative,2,99,sufficient lab equipment lab avilable euipments also perfect
it is good leaning in lab but the lab instruments are not properly working,0.0,labwork,Neutral,5,74,good leaning lab lab instrument properly working
very bad,1.0,labwork,Positive,8,8,bad
labs are very interesting it is helpful to know the knowledge,1.0,labwork,Positive,8,61,lab interesting helpful know knowledge
According to me students are doing lab only for marks .,-1.0,labwork,Negative,2,55,according student lab mark
lab practical work help us to learn the things properly and evalution is also very necessary as it helps us to retain concepts,1.0,labwork,Positive,8,126,lab practical work help learn thing properly evalution also necessary help retain concept
Lab or practical work is excellent and yes including evaluations also.,1.0,labwork,Positive,8,70,lab practical work excellent yes including evaluation also
lab is very much helpful,1.0,labwork,Positive,8,24,lab much helpful
in lab also they are showing parilaty,-1.0,labwork,Negative,2,37,lab also showing parilaty
Lab evaluations are very strict,-1.0,labwork,Negative,2,31,lab evaluation strict
the lab evaluations are very strict ,-1.0,labwork,Negative,2,36,lab evaluation strict
labs n practicals are good.,1.0,labwork,Positive,8,27,lab practicals good
practicals are pretty well.,1.0,labwork,Positive,8,27,practicals pretty well
There is good evaluations in lab regarding practicle ,1.0,labwork,Positive,8,53,good evaluation lab regarding practicle
Its Good,1.0,labwork,Positive,8,8,good
lab and practical works are good..with a little draw back of faculty in connecting  the lab practical to the outside  world..,0.0,labwork,Neutral,5,125,lab practical work good little draw back faculty connecting lab practical outside world
I like it soo much,1.0,labwork,Positive,8,18,like soo much
Lab is good the Prof explains everything before the lab begins and the Lab Asst helps us during the experiments ,1.0,labwork,Positive,8,112,lab good prof explains everything lab begin lab asst help experiment
very strcitly they evaluted marks ,-1.0,labwork,Negative,2,34,strcitly evaluted mark
Good enough,1.0,labwork,Positive,8,11,good enough
nice..enough,1.0,labwork,Positive,8,12,nice enough
labs are interesting and helpful toknoe the knowledge,1.0,labwork,Positive,8,53,lab interesting helpful toknoe knowledge
NOT GOOD ...,-1.0,labwork,Negative,2,12,good
Labs helps to know how the work is done.It thought me a good lessons.,1.0,labwork,Positive,8,69,lab help know work done thought good lesson
IT IS GOOD,1.0,labwork,Positive,8,10,good
all labs and practical going on well,1.0,labwork,Positive,8,36,lab practical going well
Labs are upto the mark.,1.0,labwork,Positive,8,23,lab upto mark
Our labs do not have all facalities. ,-1.0,labwork,Negative,2,37,lab facalities
ALL PRACTICAL WORK IS GOOD,1.0,labwork,Positive,8,26,practical work good
library facilities are good but number of books are less,0.0,library_facilities,Neutral,5,56,library facility good number book less
Not good ,-1.0,library_facilities,Negative,2,9,good
Library facilities are excellent in terms of good techniques that are used over there.,1.0,library_facilities,Positive,8,86,library facility excellent term good technique used
"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",0.0,library_facilities,Neutral,5,142,best thing seen university albeit behaviour library staff unprofessional time whimsically rude
library has huge collection of books from different authors,1.0,library_facilities,Positive,8,59,library huge collection book different author
Hardworking,1.0,library_facilities,Positive,8,11,hardworking
I am satisfied with the facilities but few books are limited of  database distribution ,0.0,library_facilities,Neutral,5,87,satisfied facility book limited database distribution
Its required some libral in rules,-1.0,library_facilities,Negative,2,33,required libral rule
good library facilities,1.0,library_facilities,Positive,8,23,good library facility
Library facilities are very good. No issues ,1.0,library_facilities,Positive,8,44,library facility good issue
Again some of the faculties don't know how to behave otherwise it is good.,0.0,library_facilities,Neutral,5,74,faculty know behave otherwise good
library is very well managed and provide needed facilities to us,1.0,library_facilities,Positive,8,64,library well managed provide needed facility
They are doing there job well,1.0,library_facilities,Positive,8,29,job well
"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",-1.0,library_facilities,Negative,2,125,well book avilable library book less number strength student large
all books are not available,-1.0,library_facilities,Negative,2,27,book available
the system in library usually does not work . so it creates a problem for us to issue the book,-1.0,library_facilities,Negative,2,94,system library usually work creates problem issue book
"Sometimes only book is available for some subjects
And it is reserved",-1.0,library_facilities,Negative,2,69,sometimes book available subject reserved
Its very helpful,1.0,library_facilities,Positive,8,16,helpful
"Awesome, peaceful, relaxing atmosphere",1.0,library_facilities,Positive,8,38,awesome peaceful relaxing atmosphere
All books are not available,-1.0,library_facilities,Negative,2,27,book available
I think number of books are very less according to the students .Only 2-3 copies are available.,-1.0,library_facilities,Negative,2,95,think number book less according student copy available
Thats good,1.0,library_facilities,Positive,8,10,thats good
I think stock is not enough more books are required. ,-1.0,library_facilities,Negative,2,53,think stock enough book required
very cooperative ,1.0,library_facilities,Positive,8,17,cooperative
Satisfactory,1.0,library_facilities,Positive,8,12,satisfactory
Fine ,1.0,library_facilities,Positive,8,5,fine
Fine,1.0,library_facilities,Positive,8,4,fine
library facilities provided are excellent,1.0,library_facilities,Positive,8,41,library facility provided excellent
good facilities,1.0,library_facilities,Positive,8,15,good facility
better,1.0,library_facilities,Positive,8,6,better
some books are not available. So please provide,-1.0,library_facilities,Negative,2,47,book available please provide
there are doing there job good,1.0,library_facilities,Positive,8,30,job good
all are hardworking and punctual,1.0,library_facilities,Positive,8,32,hardworking punctual
library is awesome and rich,1.0,library_facilities,Positive,8,27,library awesome rich
they are good,1.0,library_facilities,Positive,8,13,good
library facility is good,1.0,library_facilities,Positive,8,24,library facility good
library facilities are good for students.,1.0,library_facilities,Positive,8,41,library facility good student
very good library facilities. Issuing time of book must be increased,1.0,library_facilities,Positive,8,68,good library facility issuing time book must increased
more books should be provided and the issue period should be increased,-1.0,library_facilities,Negative,2,70,book provided issue period increased
never went there,0.0,library_facilities,Neutral,5,16,never went
book issuing time should be increased for 2 weeks,-1.0,library_facilities,Negative,2,49,book issuing time increased week
Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.,0.0,library_facilities,Neutral,5,163,really library provides good facilites student teacher fine system good directly increased upto good thing
Its good and proper design,1.0,library_facilities,Positive,8,26,good proper design
library contains all the books regarding courses and other materials and very cooperative library staff,1.0,library_facilities,Positive,8,103,library contains book regarding course material cooperative library staff
all the books are easily available and accessable and the limit of book issued need to be increased,1.0,library_facilities,Positive,8,99,book easily available accessable limit book issued need increased
library facilities are good . Every book is available in the library,1.0,library_facilities,Positive,8,68,library facility good every book available library
"as per libraries, few books are not available and in computer library there are hardly 5 PCs working",-1.0,library_facilities,Negative,2,100,per library book available computer library hardly pc working
books are less,-1.0,library_facilities,Negative,2,14,book less
i love it,1.0,library_facilities,Positive,8,9,love
i think library facilities are only for hostelers ,-1.0,library_facilities,Negative,2,50,think library facility hostelers
Capacity of library is less compared to size of university.,-1.0,library_facilities,Negative,2,59,capacity library less compared size university
library has providing excellent facilities,1.0,library_facilities,Positive,8,42,library providing excellent facility
It will provide us various books to increase our knowledge or to understand the  concept because it is good,1.0,library_facilities,Positive,8,107,provide various book increase knowledge understand concept good
duration of issuing   books from library should be changed from 1week to 2 week that would be great.,-1.0,library_facilities,Negative,2,100,duration issuing book library changed week week would great
absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast,-1.0,library_facilities,Negative,2,143,absolutely fine book thing time limit less return book issued fast
i dont think about ,0.0,library_facilities,Neutral,5,19,dont think
very good.,1.0,library_facilities,Positive,8,10,good
It is excellent.,1.0,library_facilities,Positive,8,16,excellent
library facilities need to be improve by bringing some more books,-1.0,library_facilities,Negative,2,65,library facility need improve bringing book
EXELLENT,1.0,library_facilities,Positive,8,8,exellent
Library facilities are the strength of this university. It is awesome.,1.0,library_facilities,Positive,8,70,library facility strength university awesome
Almost each and every books is there.But the time limit for keeping book is too much shorted. ,0.0,library_facilities,Neutral,5,94,almost every book time limit keeping book much shorted
"waste ,library is not the good place to study",-1.0,library_facilities,Negative,2,45,waste library good place study
It's good but we don't find the books because their are much less number of books,0.0,library_facilities,Neutral,5,81,good find book much less number book
perfect,1.0,library_facilities,Positive,8,7,perfect
They are good.,1.0,library_facilities,Positive,8,14,good
it is very nice and timings of library is good 5/5,1.0,library_facilities,Positive,8,50,nice timing library good
"good but there is more need of keeping books of general topics about social,polity,gk,...etc other than related to subject so that we will get some knowledge about country related issues..............",0.0,library_facilities,Neutral,5,200,good need keeping book general topic social polity etc related subject get knowledge country related issue
Books are heavily outnumbered when compared to number of students this is the only problem with library.,0.0,library_facilities,Neutral,5,104,book heavily outnumbered compared number student problem library
Insufficient books ,-1.0,library_facilities,Negative,2,19,insufficient book
"I have no words to say about our library facilities,,,,,,,, SIMPLY AWESOME",1.0,library_facilities,Positive,8,74,word say library facility simply awesome
insufficient books,-1.0,library_facilities,Negative,2,18,insufficient book
"Library facility is very good but there is a problem collection of books, Available books are very less for some subjects  
",0.0,library_facilities,Neutral,5,124,library facility good problem collection book available book less subject
good enough.,1.0,library_facilities,Positive,8,12,good enough
rough handling,-1.0,library_facilities,Negative,2,14,rough handling
books are not available,-1.0,library_facilities,Negative,2,23,book available
librery facilities are excellent,1.0,library_facilities,Positive,8,32,librery facility excellent
Very rough handling,-1.0,library_facilities,Negative,2,19,rough handling
library facilites are good,1.0,library_facilities,Positive,8,26,library facilites good
yeah quite well but ... some of the books are not available,0.0,library_facilities,Neutral,5,59,yeah quite well book available
library facilities is good,1.0,library_facilities,Positive,8,26,library facility good
library facilty is good,1.0,library_facilities,Positive,8,23,library facilty good
"Library facilities are good, it maintains silence there and makes good environment to study but sometimes it goes very strict which is not required according to me.",1.0,library_facilities,Positive,8,164,library facility good maintains silence make good environment study sometimes go strict required according
uncertain,0.0,library_facilities,Neutral,5,9,uncertain
I like reading books in Library,1.0,library_facilities,Positive,8,31,like reading book library
i felt its better because there is no problem from library facilities,1.0,library_facilities,Positive,8,69,felt better problem library facility
Excellent     but sometimes lack of books especially during exam times,0.0,library_facilities,Neutral,5,70,excellent sometimes lack book especially exam time
libary is giving a lot to us  but we are not getting it,0.0,library_facilities,Neutral,5,55,libary giving lot getting
"i've never went to library in lpu.so,i don't know about that.",0.0,library_facilities,Neutral,5,61,never went library lpu know
I don't know abt that bcoz i didn't go to library till now.,0.0,library_facilities,Neutral,5,59,know abt bcoz library till
facilities are good to overcome one's need,1.0,library_facilities,Positive,8,42,facility good overcome one need
Required text books are not available to every student,-1.0,library_facilities,Negative,2,54,required text book available every student
library facilities are excellent...but only limited books are available ..so books should be increased.,0.0,library_facilities,Neutral,5,103,library facility excellent limited book available book increased
The library has insufficent number of books for all the students,-1.0,library_facilities,Negative,2,64,library insufficent number book student
very good there we can find several course books and we can find several reference books also...,1.0,library_facilities,Positive,8,96,good find several course book find several reference book also
"Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available
",0.0,library_facilities,Neutral,5,127,library vast got wide variety book think number specimen copy book made available
fine  ,1.0,library_facilities,Positive,8,6,fine
VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME,0.0,library_facilities,Neutral,5,50,nice book availabe every time
IT IS ALSO GOOD,1.0,library_facilities,Positive,8,15,also good
library facilities are not good.They are not following the rules( they are using phones in library).,-1.0,library_facilities,Negative,2,100,library facility good following rule using phone library
They are good,1.0,library_facilities,Positive,8,13,good
We have a good library with all facalities.,1.0,library_facilities,Positive,8,43,good library facalities
"THEY IS NO PROBLEM WITH THEM
",-1.0,library_facilities,Negative,2,29,problem
extracurricular activities are excellent and provides best platform to students.,1.0,extracurricular,Positive,8,80,extracurricular activity excellent provides best platform student
Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.,1.0,extracurricular,Positive,8,148,extra curricular activity also help student divert mind study time university play important role task
Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.,-1.0,extracurricular,Negative,2,99,complete wastage time opinion strictly personal may coincide others
extracurricular activities increases mental and physical abilities,1.0,extracurricular,Positive,8,66,extracurricular activity increase mental physical ability
No views,0.0,extracurricular,Neutral,5,8,view
No idea about the extracurricular activities. ,0.0,extracurricular,Neutral,5,46,idea extracurricular activity
Good it provides a great platform,1.0,extracurricular,Positive,8,33,good provides great platform
While coming to extracurriculum activities it's better than any other university which I had come around.,1.0,extracurricular,Positive,8,105,coming extracurriculum activity better university come around
This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. ,1.0,extracurricular,Positive,8,130,university term extracurricular activity encouraging student participate comfort level
Great job,1.0,extracurricular,Positive,8,9,great job
Its give various opportunities and exposure,1.0,extracurricular,Positive,8,43,give various opportunity exposure
This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.,0.0,extracurricular,Neutral,5,298,really good thing event happen university regularly must announced early every student prepare participation sometimes get know event already conducted announcement must
extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.,1.0,extracurricular,Positive,8,129,extracurricular activity held university necessary provides student platform improve groom
They are really very intersting. All the students enjoys alot and get a chance to showcase there talent,1.0,extracurricular,Positive,8,103,really intersting student enjoys alot get chance showcase talent
its good for refreshment ,1.0,extracurricular,Positive,8,25,good refreshment
"It's appreciable
Students who are having interest in co curricular activities, getting a good platform",1.0,extracurricular,Positive,8,102,appreciable student interest curricular activity getting good platform
